UnitID,Institution Name,Tuition and fees - Total (F2122_F2),Total revenues and investment return - Total (F2122_F2),Net total revenues  after assets released from restriction - Total (F2122_F2),Tuition and fees - Total (F2021_F2),Total revenues and investment return - Total (F2021_F2),Net total revenues  after assets released from restriction - Total (F2021_F2),Tuition and fees - Total (F1920_F2),Total revenues and investment return - Total (F1920_F2),Net total revenues  after assets released from restriction - Total (F1920_F2),Tuition and fees - Total (F1819_F2),Total revenues and investment return - Total (F1819_F2),Net total revenues  after assets released from restriction - Total (F1819_F2),
143084,Augustana College,37910032,55930012,55930012,40939579,123561609,123561609,42997033,80274747,80274747,43056769,85601635,85601635,
222983,Austin College,18118447,21827968,21827968,18843594,77270596,77270596,17650259,48661792,48661792,17498292,55737087,55737087,
231420,Averett University,18648389,30531760,30531760,18132728,39610085,39610085,14150003,29227627,29227627,15087469,26456363,26456363,
176628,Avila University,14768279,29411964,29411964,16052265,31498916,31498916,17522090,26840174,26840174,19540575,28347686,28347686,
164580,Babson College,138984405,230611736,230611736,127114303,429876826,429876826,129822235,258080438,258080438,126759583,269307826,269307826,
201195,Baldwin Wallace University,46182431,63993700,63993700,49591475,138675114,138675114,55767975,101824059,101824059,59563505,105190459,105190459,
223117,Baptist Missionary Association Theological Seminary,351721,1223052,1223052,326268,1695932,1695932,422596,1721296,1721296,421249,1695192,1695192,
132408,Baptist University of Florida,1834991,4778278,4778278,2175353,8751050,8751050,2432185,6432968,6432968,2770526,7837081,7837081,
444398,Baptist University of the Americas,947632,4410069,4410069,871658,5211328,5211328,1097311,3074339,3074339,965030,3038846,3038846,
155070,Barclay College,3950627,8693305,8693305,3644961,9871238,9871238,3732607,8289839,8289839,3818469,8503213,8503213,
197911,Barton College,16599902,28454635,28454635,15015363,34426321,34426321,15065357,33142209,33142209,14383057,25537958,25537958,
197984,Belmont Abbey College,15256993,38704989,38704989,14990158,41375271,41375271,14866362,34087466,34087466,14815262,32071480,32071480,
217721,Benedict College,20084344,51338067,51338067,18237555,87431161,87431161,20396179,49374322,49374322,21774228,49228266,49228266,
154712,Benedictine College,31164145,85544789,85544789,28565257,69927292,69927292,27173894,57253200,57253200,25895307,54391704,54391704,
230816,Bennington College,22985851,36284325,36284325,21499366,65083494,65083494,23582867,50631899,50631899,25675161,49101349,49101349,
164748,Berklee College of Music,242313532,261535058,261535058,187954876,351544790,351544790,228945271,275051764,275051764,249719799,289029942,289029942,
139144,Berry College,27967528,145830351,145830351,27706247,345109270,345109270,28076685,18965438,18965438,30111844,182863624,182863624,
237181,Bethany College,3941541,22106299,22106299,3991274,19338590,19338590,4195315,17619394,17619394,5737427,19659902,19659902,
486284,Bethany Global University,1127247,16052579,16052579,1490198,15100333,15100333,1363898,15143179,15143179,1339058,13861492,13861492,
173142,Bethany Lutheran College,7427782,16080859,16080859,7110078,33675579,33675579,7426509,17309611,17309611,7480753,19205220,19205220,
150145,Bethel University,15169824,28937220,28937220,15370109,33596855,33596855,15938035,25177131,25177131,16967419,28663334,28663334,
219718,Bethel University,21548332,39050518,39050518,25986806,41268585,41268585,31268389,46561374,46561374,33650714,49682926,49682926,
132602,Bethune-Cookman University,15733618,102446331,102446331,26648464,109143465,109143465,26857191,77036802,77036802,36049823,83335543,83335543,
100937,Birmingham-Southern College,11322316,31292016,31292016,12093165,43188270,43188270,10883516,37079363,37079363,13802483,35072980,35072980,
183822,Bloomfield College,20838580,34652247,34652247,24675202,51636791,51636791,27735635,40152297,40152297,28162798,41912251,41912251,
