"unitid","institution name","year","DRVEF122022_RV.Total 12-month unduplicated headcount","SAL2022_NIS.Full-time non-instructional staff - number","DRVOM2022_RV.Percent full-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent full-time first-time receiving an award - 8 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 4 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 6 years","DRVOM2022_RV.Percent part-time first-time receiving an award - 8 years"
"217934","Columbia College","2022","1945","110","59","66","66",,,
"218070","Furman University","2022","2540","627","72","81","81",,,
"218238","Limestone University","2022","2147","190","21","30","31","2","13","21"
"218414","Newberry College","2022","1309","132","39","53","53",,,
"218919","Voorhees University","2022","436","102","31","42","42","0","0","0"
"219091","Dakota Wesleyan University","2022","997","99","44","44","44","0","0","0"
"219718","Bethel University","2022","4180","203","29","33","35","5","6","9"
"219833","Christian Brothers University","2022","2391","163","35","53","53","0","0","0"
"219949","Cumberland University","2022","2830","135","41","56","56",,,
"220181","Fisk University","2022","994","106","49","51","73","0","0","100"
"220206","Welch College","2022","377","30","37","71","71","9","9","9"
"220710","Maryville College","2022","1114","168","39","45","45",,,
"221351","Rhodes College","2022","2528","314","79","82","82",,,
"221731","Tennessee Wesleyan University","2022","1208","87","29","42","42","33","33","33"
"221953","Tusculum University","2022","1589","184","34","36","36",,,
"222877","Arlington Baptist University","2022","239","16","8","18","18","0","0","50"
"222983","Austin College","2022","1242","164","66","71","71",,,
"223117","Baptist Missionary Association Theological Seminary","2022","139","6","0","0","0","8","8","8"
"224244","Dallas Christian College","2022","342","21","16","22","22","0","0","0"
"224527","East Texas Baptist University","2022","1811","158","27","34","35","100","100","100"
"225201","Hallmark University","2022","1203","70","52","52","52",,,
"225548","Howard Payne University","2022","971","129","26","41","41","0","0","0"
"225575","Huston-Tillotson University","2022","1172","89","21","30","33","33","33","33"
"225885","Jarvis Christian University","2022","874","107","8","21","32","9","9","9"
"226231","LeTourneau University","2022","3996","221","47","55","56","7","24","25"
"226587","McMurry University","2022","1333","154","25","36","38","100","100","100"
"227429","Paul Quinn College","2022","1147","63","22","31","31","0","0","0"
"228042","Schreiner University","2022","1251","146","48","54","56",,,
"228468","Southwestern Adventist University","2022","1082","82","26","42","43","0","0","0"
"229267","Trinity University","2022","2782","496","67","79","80",,,
"230816","Bennington College","2022","956","189","60","70","72",,,
"230852","Champlain College","2022","5384","269","57","66","66","21","32","32"
"230889","Goddard College","2022","478","44","29","29","29",,,
"230995","Norwich University","2022","4901","427","50","57","57","50","50","50"
"231059","Saint Michael's College","2022","2218","180","72","75","75","0","0","0"
"231420","Averett University","2022","1536","174","42","52","53","21","29","29"
"231554","Bluefield University","2022","1215","86","21","33","34","15","38","46"
"231581","Bridgewater College","2022","1509","183","57","63","63",,,
"232089","Ferrum College","2022","1016","160","21","32","33","100","100","100"
"232308","Hollins University","2022","953","173","57","60","61",,,
"233295","Randolph-Macon College","2022","1525","271","60","65","65","67","67","67"
"233301","Randolph College","2022","695","145","52","56","56",,,
"233426","Roanoke College","2022","1944","211","66","70","70",,,
"233718","Sweet Briar College","2022","466","144","29","33","33",,,
