"unitid","institution name","year","OM2022.Cohort category","OM2022_RV.Adjusted 2014-15 cohort","IDX_OM"
"186186","Rabbinical College of America","2022","Total entering, Total","146","-2"
"189413","Boricua College","2022","Total entering, Total","459","-2"
"189705","Canisius University","2022","Total entering, Total","736","-2"
"189857","Central Yeshiva Tomchei Tmimim Lubavitz","2022","Total entering, Total","270","-2"
"190099","Colgate University","2022","Total entering, Total","792","-2"
"190114","Metropolitan College of New York","2022","Total entering, Total","487","-2"
"190372","The Cooper Union for the Advancement of Science and Art","2022","Total entering, Total","231","-2"
"190983","Elmira College","2022","Total entering, Total","426","-2"
"191533","Hartwick College","2022","Total entering, Total","458","-2"
"191621","Hilbert College","2022","Total entering, Total","341","-2"
"191630","Hobart William Smith Colleges","2022","Total entering, Total","661","-2"
"191676","Houghton University","2022","Total entering, Total","366","-2"
"191931","Iona University","2022","Total entering, Total","954","-2"
"192192","Keuka College","2022","Total entering, Total","714","-2"
"192703","Manhattan College","2022","Total entering, Total","1055","-2"
"193353","Mount Saint Mary College","2022","Total entering, Total","691","-2"
"193399","University of Mount Saint Vincent","2022","Total entering, Total","620","-2"
"194116","New York School of Interior Design","2022","Total entering, Total","120","-2"
"194392","Paul Smiths College of Arts and Science","2022","Total entering, Total","334","-2"
"194578","Pratt Institute-Main","2022","Total entering, Total","937","-2"
"194666","Rabbinical College Bobover Yeshiva Bnei Zion","2022","Total entering, Total","72","-2"
"195164","St Bonaventure University","2022","Total entering, Total","511","-2"
"195173","St. Francis College","2022","Total entering, Total","795","-2"
"195216","St Lawrence University","2022","Total entering, Total","638","-2"
